_	Id	CreatedDate	Type__c	IdAgent__c	EntreeClients__c	MessageErreur__c	DureeAppelAPI__c	NbClientsEntree__c	NbContactsSortie__c	CodePosteMetier__c		recordtypeId
[GOCC_MuleAPI_Log__c]	a01AP00000OV2yzYAD	2024-07-18T15:04:40.000+0000	LoadTime	63140			30			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OV3K7YAL	2024-07-18T15:19:01.000+0000	ApiCall	63140	CE16275079585147		21	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OV9ZAYA1	2024-07-18T16:29:34.000+0000	ApiCall		CE16275079585147		13	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OVC5yYAH	2024-07-18T15:24:24.000+0000	LoadTime	63140			74			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OVHI7YAP	2024-07-18T15:23:10.000+0000	ApiCall	63140	CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OVtaHYAT	2024-07-18T15:18:44.000+0000	LoadTime	63140			43			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OVtaIYAT	2024-07-18T15:18:45.000+0000	ApiCall	63140	CE16275079585147		16	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OVubBYAT	2024-07-18T15:19:01.000+0000	LoadTime	63140			56			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OVzNxYAL	2024-07-18T15:20:27.000+0000	ApiCall	63140	CE16275079585147		21	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OVzNzYAL	2024-07-18T15:25:14.000+0000	ApiCall	63140	CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OW5mjYAD	2024-07-18T15:22:08.000+0000	LoadTime	63140			28			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OW6XZYA1	2024-07-18T17:17:21.000+0000	LoadTime				21			RoleTest		012AP0000022BPdYAM
